,Athens,Berlin,Paris,Rome,query,London,Hanoi,Rio de Janeiro,Lisbon,Tokyo,Seoul,Bangkok,Minsk,Warsaw,Cape Town,Dublin
2021-12-11 20:00:00+01:00,15.0,0.0,5.6,7.4,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-11 21:00:00+01:00,14.3,0.0,6.1,7.1,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-11 22:00:00+01:00,13.8,0.0,6.1,6.8,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-11 23:00:00+01:00,13.5,0.6,6.1,6.6,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 00:00:00+01:00,13.2,0.6,6.1,6.3,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 01:00:00+01:00,12.7,0.0,6.1,6.0,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 02:00:00+01:00,13.1,0.6,6.1,6.0,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 03:00:00+01:00,13.3,0.6,6.7,5.9,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 04:00:00+01:00,13.4,0.6,6.7,5.8,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 05:00:00+01:00,13.2,0.6,7.2,5.2,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 06:00:00+01:00,12.9,0.6,7.2,5.1,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 07:00:00+01:00,13.1,0.6,7.2,4.5,2021-12-11 20:00:00+01:00,,,,,,,,,,,
2021-12-12 08:00:00+01:00,14.2,-1.1,7.2,5.5,2021-12-12 08:00:00+01:00,,,,,,,,,,,
2021-12-12 09:00:00+01:00,14.8,-0.6,7.2,5.9,2021-12-12 08:00:00+01:00,,,,,,,,,,,
2021-12-12 10:00:00+01:00,15.4,0.6,7.8,7.3,2021-12-12 08:00:00+01:00,,,,,,,,,,,
